base,CRT2,CRT2+Core4,Core4,CRT2+Core3,Core3,CRT2+BCRT(all),NFC
Emoji,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethnicity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fatigue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
substances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
money,0.018058662408259103,0.0018037876522337347,-0.014203859045201257,0.031194489596843015,0.03615039569906847,-0.00874684375401987,-0.08031989010184677
achieve,-0.02282142111248281,-0.023259078750105702,-0.017498524250237606,0.008272592725228687,0.03946925178995299,-0.01765856977156808,-0.06673809215274538
nonflu,-0.01855430791467881,-0.006702317798368374,0.006400468819969062,-0.03139236730492514,-0.035967259452252195,-0.03992665813508991,-0.06506267839636523
power,-0.04522900292825141,-0.013998058544820008,0.019555754957546613,-0.0033196109469887333,0.043023773155185026,-0.06459908682734923,0.07646534241552473
motion,-0.001081100843116579,0.026027128851984143,0.04500997844112533,0.05760500988582783,0.10401871344464,0.032946267975988604,0.020822313708200844
Apostro,0.0479533492907385,0.03430170034602784,0.012148044267113262,0.0096886876208229,-0.03460086718209163,0.028339183162906317,0.12794399873031972
socbehav,0.05438807869808758,0.04970428065437901,0.032026105832660606,0.07485201920510413,0.07477829578227406,0.0019871538911943186,0.02577474155202258
discrep,-0.027155357533169097,-0.0172666133761074,-0.003232988961591048,0.031114541147658936,0.08494208411599023,-0.013608448079858344,0.14479265463874985
socrefs,0.03279195729533532,0.03489925154870931,0.027641569442558495,0.0679865099505675,0.08589368139108304,0.05975086016600891,-0.013530890199754383
risk,-0.04135096642387219,0.011159582629520468,0.05835906416001252,-0.025398845124216418,-0.0005938869076921367,-0.027220827819675747,-0.15984405882317707
Lifestyle,0.02671825941652354,-0.04894698758365992,-0.10822840505218277,-0.03499703959424958,-0.09140087753158382,-0.01038892905190985,0.01121415112852954
prosocial,-0.06109887252281303,-0.0311318656641884,0.005766000317854686,-0.01604125511114226,0.03748611425213363,-0.112575828141199,0.08784403407486689
Exclam,-0.05841387326640137,-0.04001271462055909,-0.011804692627075,-0.05627148989349659,-0.03724734784121489,-0.0602295421725002,-0.08902882503881233
mental,0.09233515111561885,0.04819222842240968,-0.006780059879213648,0.0672963234668442,0.02021874347703374,-0.019686203905043134,-0.10240353776878515
auditory,0.04154629482021507,0.018678939061424194,-0.00812848810763835,0.005801812169215841,-0.03460628460875583,-0.05275324744282031,-0.1965258704330125
sexual,-0.002578553115646983,0.03207324242908694,0.05665643349444693,0.045329103053992334,0.08372183582789212,-0.015238786355189184,0.14009927905750696
