,crt2_total,bcrt6_total,combined10_total,NFC_total
crt2_total,1.0,0.2963577382425936,0.7029187357559694,0.12756593160527588
bcrt6_total,0.2963577382425936,1.0,0.8876331898988458,-0.06660996175232947
combined10_total,0.7029187357559694,0.8876331898988458,1.0,0.011907890158413254
NFC_total,0.12756593160527588,-0.06660996175232947,0.011907890158413254,1.0
