k,items,kr20,citc_mean,tif_area,liwc_sig_cnt,liwc_mean_abs_bstd,nfc_beta_std,n_obs,deltaR2_mean,z_kr20,z_citc,z_tif,z_liwc,z_liwc_sig,nfc_pref,z_nfc,z_deltaR2,score
3,"bcrt_q1,bcrt_q2,bcrt_q3",0.16082680118516313,0.07193171420056789,3.754756604323396,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-0.8872709187287791,-0.9707166153810419,0.1966172197733159,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-0.3151609079606261
3,"bcrt_q1,bcrt_q2,bcrt_q4",0.1134547670639226,0.05320618599831109,2.5473486836632566,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-1.1778507487455776,-1.1627503919586284,-1.2439752504310944,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-0.796215343675367
3,"bcrt_q1,bcrt_q2,bcrt_q5",-0.1814504461056171,-0.08948038781217711,2.373152942237443,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-2.9867979114229257,-2.6260277606815174,-1.4518131063418784,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-1.6276340514624235
3,"bcrt_q1,bcrt_q2,bcrt_q6",0.2653377511757159,0.13561619596637606,3.031523606313292,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-0.24620125291233286,-0.31762040304559086,-0.6662924839886707,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-0.24120432963182153
3,"bcrt_q1,bcrt_q3,bcrt_q4",0.4299437590711174,0.25486801022897837,3.1958869085018735,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,0.76349120976668,0.9053291452516078,-0.4701859888603756,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,0.28350961091762655
3,"bcrt_q1,bcrt_q3,bcrt_q5",0.22335490114227108,0.11494861741594871,3.0216911670760593,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-0.5037238535909729,-0.5295702673636588,-0.6780238447711604,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-0.35546506649677473
3,"bcrt_q1,bcrt_q3,bcrt_q6",0.413371779912036,0.23381653906563013,3.6800618311519084,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,0.6618387691143868,0.6894423907447467,0.10749677758204741,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,0.37076327284924365
3,"bcrt_q1,bcrt_q4,bcrt_q5",-0.009444151738671747,-0.006619439943280431,1.8142832464159202,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-1.9317121270327677,-1.7762733196748808,-2.11861631497557,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-1.3400793849836272
3,"bcrt_q1,bcrt_q4,bcrt_q6",0.280490890688259,0.14335685574641246,2.4726539104917693,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-0.15325196784455664,-0.23823849644690429,-1.3330956926223623,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-0.3674346913566541
3,"bcrt_q1,bcrt_q5,bcrt_q6",0.12102557624285842,0.05121483507875955,2.298458169065955,0,0.11776185539622504,-0.10494621138101,51,0.021881091821942936,-1.1314114415654286,-1.1831720662335705,-1.540933548533147,0.8660254037844384,0,-0.10494621138101,-0.8660254037844394,0.8660254037844372,-0.8562433281153221
