label,k,n,KR20
CRT-2,4,52,0.44689958449332395
BCRT-6,6,52,0.449234826966553
BCRT-4,4,52,0.5062170100929786
Combined-8,8,52,0.6490706824040156
Combined-10,10,52,0.6430258546504716
Selected (4),4,52,0.5062170100929786
Combined (CRT2+Selected),8,52,0.6490706824040156
