label,k,n,KR20
CRT-2,4,240,0.4158421762177632
BCRT-6,6,240,0.5429945669778267
BCRT-4,4,240,0.4881347377072623
Combined-8,8,240,0.5400846620212322
Combined-10,10,240,0.5959301094708115
Selected (4),4,240,0.4881347377072623
Combined (CRT2+Selected),8,240,0.5400846620212322
