dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
naive,FunctionAnalytic,adj_Q2,crt2_plus_core3,crt2_plus_core3_total,0.2064252751153704,0.22916250605910476,-0.24273323676047492,0.6555837869912158,0.1237370484786038,0.3677046700977816,0.015310857166196512,52,0.5341358428619968,False,False
naive,FunctionAnalytic,adj_Q2,crt2_plus_core4,crt2_plus_core4_total,0.21313991769547364,0.2011964047044089,-0.18120503552516776,0.607484870916115,0.13701898806568544,0.28943474052460094,0.01877420309054434,52,0.4502318185938237,False,False
naive,FunctionAnalytic,article_Q1,crt2_total,crt2_total,-0.08289893617021299,0.2827967052732467,-0.6371804785057764,0.4713826061653505,-0.03653908351717911,0.7694153867134251,0.0013617980105035121,51,0.8194464089547523,False,False
naive,FunctionAnalytic,article_Q1,bcrt_core3,bcrt_core3_total,-0.5852219626168218,0.29060836571339826,-1.1548143594150824,-0.01562956581856123,-0.24291642053612553,0.04403240224801608,0.057939294230274774,51,0.30822681573611255,True,False
naive,FunctionAnalytic,article_Q1,bcrt_core4,bcrt_core4_total,-0.535121359223301,0.27301859946621737,-1.070237814177087,-4.904269514938164e-06,-0.2513511218934136,0.049993690768446244,0.06217685112305116,51,0.23330389025274914,True,False
naive,FunctionAnalytic,article_Q1,crt2_plus_core3,crt2_plus_core3_total,-0.2140495968727088,0.16189296357368052,-0.5313598054771227,0.10326061173170503,-0.1566102813698125,0.1861124178430258,0.024707995726840015,51,0.37819333611970707,False,False
naive,FunctionAnalytic,article_Q1,crt2_plus_core4,crt2_plus_core4_total,-0.2139341126461212,0.15486313982875638,-0.5174658667104837,0.08959764141824131,-0.1678668640082459,0.16714376027047706,0.028371784490782037,51,0.42898351398287815,False,False
naive,FunctionAnalytic,article_Q2,crt2_total,crt2_total,-0.5927616563417031,0.4241716037806458,-1.424137999751769,0.23861468706836264,-0.047996615404759156,0.1622761324352321,0.0023036750903122627,52,0.4543731708186499,False,False
naive,FunctionAnalytic,article_Q2,bcrt_core3,bcrt_core3_total,-2.638058823529414,2.561187247141125,-7.657985827926019,2.381868180867191,-0.2011604273168274,0.30300341487924476,0.04046551751828886,52,0.4713386453677141,False,False
naive,FunctionAnalytic,article_Q2,bcrt_core4,bcrt_core4_total,-2.2111053689348257,2.196163474571194,-6.5155857790943665,2.093375041224715,-0.19079184098186983,0.31402914755708344,0.03640152658525164,52,0.4884897850887964,False,False
naive,FunctionAnalytic,article_Q2,crt2_plus_core3,crt2_plus_core3_total,-1.0641959531416407,0.860347750669263,-2.750477544453396,0.6220856381701145,-0.14303729093917805,0.21611047778268977,0.020459666599219384,52,0.37819333611970707,False,False
naive,FunctionAnalytic,article_Q2,crt2_plus_core4,crt2_plus_core4_total,-0.9793497942386834,0.8163340602553542,-2.5793645523391775,0.6206649638618108,-0.1411707074597656,0.23025881324167208,0.01992916864469041,52,0.42898351398287815,False,False
naive,FunctionAnalytic,auxverb_Q1,crt2_total,crt2_total,0.24186502659574496,0.34711991850751817,-0.43849001367899065,0.9222200668704805,0.08753100818783138,0.48594263046833563,0.007814860980235316,51,0.7559107585062999,False,False
naive,FunctionAnalytic,auxverb_Q1,bcrt_core3,bcrt_core3_total,0.6077336448598133,0.38167189180909195,-0.14034326308600686,1.3558105528056335,0.20712365459548082,0.11131878900743623,0.042122957460385746,51,0.4409652916816903,False,False
naive,FunctionAnalytic,auxverb_Q1,bcrt_core4,bcrt_core4_total,0.4898574029126215,0.3867588810110512,-0.2681900038690389,1.247904809694282,0.18892019327281495,0.20530889360443572,0.035125606379223795,51,0.42866211098554147,False,False
naive,FunctionAnalytic,auxverb_Q1,crt2_plus_core3,crt2_plus_core3_total,0.2795247984363561,0.2152743062316449,-0.1424128417776679,0.70146243865038,0.16792152208361685,0.19412975518761633,0.028405975111765014,51,0.37819333611970707,False,False
naive,FunctionAnalytic,auxverb_Q1,crt2_plus_core4,crt2_plus_core4_total,0.24889479277364512,0.2141488771985918,-0.1708370065355948,0.6686265920828851,0.160354411190134,0.24513343656164466,0.025889193450407633,51,0.42898351398287815,False,False
naive,FunctionAnalytic,auxverb_Q2,crt2_total,crt2_total,-0.09492989892403093,0.4158903180325267,-0.9100749222677832,0.7202151244197214,-0.030849481559352774,0.8194464089547523,0.000951690512480452,52,0.8194464089547523,False,False
naive,FunctionAnalytic,auxverb_Q2,bcrt_core3,bcrt_core3_total,-0.11280882352941256,0.4948067088048966,-1.08262997278701,0.8570123257281848,-0.03452355305054494,0.819657405220123,0.0011918757152338255,52,0.8269494821834831,False,False
naive,FunctionAnalytic,auxverb_Q2,bcrt_core4,bcrt_core4_total,-0.19534022394487588,0.4179468777693353,-1.014516104372773,0.6238356564830214,-0.06764822128947943,0.6402276658947377,0.004576281843630126,52,0.7169637077376996,False,False
naive,FunctionAnalytic,auxverb_Q2,crt2_plus_core3,crt2_plus_core3_total,-0.07075967341143134,0.2671132046706587,-0.5943015545659224,0.4527822077430597,-0.03817049870004186,0.7910825024629358,0.0014569869710098216,52,0.7910825024629358,False,False
naive,FunctionAnalytic,auxverb_Q2,crt2_plus_core4,crt2_plus_core4_total,-0.0999506172839503,0.24175477831580042,-0.5737899827829192,0.3738887482150185,-0.05782379304636046,0.6792857225382323,0.0033435910422683346,52,0.6859837756756372,False,False
naive,FunctionAnalytic,conj_Q1,crt2_total,crt2_total,-0.40400598404255367,0.2323279846241402,-0.8593688339058685,0.0513568658207611,-0.2248509067461588,0.08204413730278295,0.051568759180064316,51,0.3828726407463205,False,False
naive,FunctionAnalytic,conj_Q1,bcrt_core3,bcrt_core3_total,0.05844626168224344,0.2673471411621999,-0.46555413499566833,0.5824466583601552,0.030633114038566344,0.8269494821834831,0.0009213862989873034,51,0.8269494821834831,False,False
naive,FunctionAnalytic,conj_Q1,bcrt_core4,bcrt_core4_total,0.10775485436893188,0.24944095537132038,-0.38114941815885606,0.5966591268967198,0.06390922321845921,0.6657520143278639,0.004019704664556478,51,0.7169637077376996,False,False
naive,FunctionAnalytic,conj_Q1,crt2_plus_core3,crt2_plus_core3_total,-0.13011971658929802,0.14869316086900347,-0.4215583118925448,0.16131887871394876,-0.12021180466279625,0.38152560204428343,0.014557647927167294,51,0.5341358428619968,False,False
