base,Core4,Core3,CRT2+BCRT(all),CRT2+Core4,NFC,CRT2,CRT2+Core3
Emoji,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lifestyle,-0.006280120916574207,-0.016956725627954566,0.008657147397893816,0.011788881049267539,-0.01601947019828666,0.027044282105404185,0.007037765846830737
filler,0.026440433876389287,0.020293335922803357,-0.020869825474407484,0.003044509348804684,0.020567848673004336,-0.024970367493249813,-0.003568005271245893
swear,-0.006696921515128333,-0.04506542596783971,-0.024344377197511962,0.0029296730702406764,0.014247707637814218,0.012569468647486126,-0.020225633940610298
focuspast,0.030563069274097025,0.008460272595995846,0.006767853080746497,-0.0025868982343949317,-0.019822274357864916,-0.03916751626887854,-0.020364656212092144
reward,0.011874438853788197,0.030212510057860516,0.007998202023522935,0.024401868288014605,-0.005196496656111028,0.027655346423588995,0.03724485592176595
sexual,-0.004052966293387016,0.008228803784241585,-0.03583201028602446,-0.01613066206107368,0.06685626334259778,-0.02260447796770297,-0.009638478040542612
food,0.007069747108821149,-0.010605674295575717,0.0453386106417734,-0.007849968717055986,-0.05318312426929527,-0.0212967343747661,-0.020681437555421397
certitude,-0.036996611953977236,-0.03141311832651218,0.005550792291450382,-0.029018684064787883,-0.03801789526117843,-0.00683926735638054,-0.024339256417931887
lack,0.020252155274452503,0.04349330886704978,-0.007693325672742991,0.01165660626700474,-0.06262514160803102,-0.003391314842172081,0.025257019214865502
tone_neg,0.0531139814243432,0.006619166015784001,0.007331181547764488,0.008794787168023625,-0.027321864516501582,-0.04564034698020774,-0.02577698820702384
wellness,-0.030010994648249013,-0.021397892010478543,-0.014885537382914763,-0.03823799385235222,0.011725970570444196,-0.03035089050698005,-0.03344437976586744
focusfuture,0.03288443360307112,0.04599781142932226,0.028358009471745365,0.011755612875435235,-0.03597351845416388,-0.017608663699316723,0.017506934288726485
differ,-0.04646219269003716,0.0002374615011230675,0.02622618152337768,0.006933919603317465,-0.0033117001673738447,0.06460725983070736,0.042560064470025166
power,-0.006541558538441328,0.01125346673716219,0.002144407515512451,0.007225019883822704,0.128165910307577,0.01964071755868427,0.020003718100674767
allure,-0.028823711986006948,-0.02437260080469581,0.017947466941721276,0.010091737503633152,-0.051799194595157215,0.04985090742981794,0.017322624010385805
