Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
R_4s649qip03SoHtv.txt,1,334,29.53,12.44,78.43,52.62,14.52,19.76,94.61,73.65,57.19,13.77,8.08,5.69,0.3,0.3,0,1.5,5.69,14.07,5.69,1.8,11.98,9.58,7.49,7.78,2.69,17.07,8.98,5.99,4.79,2.69,1.5,1.2,32.34,1.2,17.96,4.49,2.4,2.69,4.49,1.8,2.99,0.3,7.19,4.49,2.4,2.69,0.6,1.8,0,0.3,0,0,9.88,5.09,1.2,0,0.3,0,2.99,4.79,0,1.2,0,0,0.9,0,0,0.9,5.99,1.5,0,3.89,0.6,0,3.29,0.3,0,0,0,0,0,2.99,0,0,0.6,0.9,0.6,0.9,0,0,0,0.6,8.98,7.49,1.8,0.9,3.29,2.1,0,0.3,7.78,3.89,5.99,1.8,0.9,0.6,0,0.3,0,21.86,8.08,5.69,0,0,5.69,2.4,0
R_4NDmSPqopKb7O1c.txt,1,222,35.05,34.92,83.21,47.58,10.09,18.92,92.34,70.72,54.05,13.51,9.91,4.95,1.35,0,0,3.15,3.6,13.51,7.21,2.25,10.36,8.11,7.66,8.11,1.8,17.12,7.66,5.41,3.15,2.7,0.45,0,31.08,2.7,13.96,5.41,1.35,2.25,3.15,0.9,3.15,0,7.21,4.5,2.7,2.7,0.9,1.8,0.45,0.45,0,0,13.06,4.95,1.35,0.45,0,0.45,3.6,7.66,0,0.9,0,0,1.35,0,0,1.35,5.86,0.9,0,3.15,1.8,0,4.5,0.9,0,0,0,0,0,2.7,0.45,0,0.45,0.45,0.9,0,0,0,0.9,0,12.16,5.86,0.45,0.9,4.5,0.45,0,0,6.76,5.86,5.86,0,0.9,0,0.45,0.45,0,22.97,8.11,4.5,2.7,0,5.41,2.25,0
R_9j0z8JXT8CPjNa9.txt,1,92,41.01,18.24,44.75,3.88,23,28.26,92.39,69.57,57.61,17.39,13.04,8.7,0,0,0,4.35,4.35,18.48,10.87,1.09,8.7,10.87,2.17,8.7,0,16.3,5.43,1.09,5.43,5.43,1.09,0,21.74,0,14.13,4.35,0,4.35,3.26,0,3.26,0,6.52,2.17,4.35,3.26,1.09,2.17,0,1.09,1.09,0,15.22,7.61,0,0,1.09,0,3.26,7.61,0,3.26,0,0,2.17,0,0,2.17,4.35,3.26,0,1.09,0,0,4.35,1.09,0,0,0,0,0,3.26,0,1.09,0,0,0,0,0,0,0,0,8.7,3.26,0,0,1.09,1.09,0,0,4.35,2.17,3.26,2.17,0,0,0,0,0,9.78,4.35,3.26,0,0,0,2.17,0
R_448C7cW8wSXpC6o.txt,1,113,5.92,61.1,76.63,32.5,113,12.39,98.23,72.57,56.64,20.35,12.39,4.42,2.65,0.88,0,3.54,7.96,10.62,6.19,0.88,6.19,12.39,9.73,4.42,2.65,19.47,7.08,2.65,7.96,5.31,0.88,1.77,32.74,0,16.81,5.31,3.54,2.65,3.54,0.88,2.65,0,7.96,4.42,3.54,0.88,0.88,0,0,0,0,0.88,15.93,5.31,0,0.88,0,0,4.42,10.62,0,0.88,0,0.88,0.88,0,0,0.88,3.54,0,0,2.65,0,0.88,6.19,1.77,0,0,0,0,0,4.42,0,0,0,1.77,0,0.88,0,0,2.65,0,8.85,7.96,0,0.88,6.19,0.88,0,0,5.31,3.54,6.19,2.65,1.77,1.77,0,0,0,9.73,0,3.54,0,0,6.19,0,0
R_9ADm21vJo7nh1VT.txt,1,87,41.08,5.1,95.69,3.47,17.4,26.44,96.55,72.41,59.77,12.64,10.34,9.2,0,0,0,1.15,2.3,13.79,6.9,1.15,12.64,13.79,5.75,6.9,0,20.69,6.9,3.45,6.9,4.6,1.15,1.15,31.03,1.15,22.99,6.9,4.6,5.75,1.15,0,3.45,0,6.9,2.3,4.6,1.15,0,1.15,0,1.15,0,0,9.2,5.75,2.3,0,1.15,0,1.15,3.45,0,1.15,0,0,1.15,0,0,1.15,3.45,0,0,2.3,1.15,0,4.6,1.15,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,3.45,0,10.34,8.05,0,2.3,6.9,0,0,1.15,4.6,3.45,5.75,1.15,0,0,0,0,0,10.34,5.75,3.45,0,0,0,1.15,0
R_4Y5S3VXplJ1LQNH.txt,1,157,29.75,29.47,34.5,20.23,26.17,16.56,93.63,78.34,61.15,14.65,11.46,7.01,0.64,0,0,3.82,3.18,15.29,8.92,0.64,12.1,11.46,8.92,9.55,0,21.66,7.64,5.1,5.73,3.82,1.27,0.64,28.03,0,18.47,5.73,1.91,6.37,3.18,1.91,3.18,0,5.1,2.55,2.55,3.18,0.64,2.55,0,1.91,0,0,14.65,7.01,0,0,0.64,0,5.73,7.64,0,3.18,0,0,0,0,0,0,4.46,1.27,0,0,3.18,0,1.27,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0.64,0,7.64,4.46,0.64,0.64,3.18,0,0,0,2.55,3.82,1.91,2.55,0,0,0,0,0,7.01,3.82,2.55,0,0,0,0.64,0
R_45Ae219AVS6KIs1.txt,1,163,9.65,23.77,94.62,77.2,16.3,13.5,95.71,73.01,63.19,19.02,14.11,8.59,1.23,2.45,0,1.23,4.91,12.88,6.75,1.23,11.04,11.66,9.2,8.59,3.07,19.02,2.45,3.68,7.98,4.91,1.84,1.84,29.45,1.23,15.34,3.07,3.07,2.45,2.45,1.84,3.68,0,4.91,4.29,0.61,1.84,1.84,0,0,0,0,0,12.27,3.68,0.61,0,0,1.84,0.61,8.59,0,1.84,0,0,0,0,0,0,3.68,3.07,0,0.61,0,0,4.91,0.61,0,0,0,0,0,4.29,0,0.61,0,0,0,0.61,2.45,0,0,0,7.36,10.43,0,0.61,6.75,3.07,0,0,6.75,4.91,7.98,1.84,1.23,1.23,0,0,0,12.88,5.52,1.23,0.61,0,4.91,0.61,0
R_46sDFz0luDI3hex.txt,1,194,34.97,15.2,53.17,52.04,16.17,18.04,96.91,76.29,58.25,14.95,9.28,5.67,0,0,0,3.61,5.67,15.46,6.7,1.03,13.4,11.86,4.12,9.28,1.55,23.71,7.73,4.12,4.64,3.09,1.55,0,33.51,1.03,21.65,7.22,2.58,6.19,1.55,0.52,4.12,0,7.22,4.64,2.58,2.06,0.52,1.55,0.52,1.03,0,0,12.37,6.19,1.03,0,0.52,0.52,3.61,6.19,0,1.55,0,0,0.52,0,0,0.52,6.19,1.55,0,4.64,0.52,0,4.12,0.52,0,0,0,0,0,3.09,0,0,1.55,1.03,0,0,0,0.52,0,0,7.73,4.12,0.52,0.52,1.55,1.03,0,0.52,5.67,3.61,3.61,1.55,0,0,0,0,0,14.43,6.19,2.06,0,0,3.09,3.09,0
R_9OBJ6XMuIvupbBT.txt,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4IuXMRl31zVDX2Z.txt,1,253,21.7,23.34,87.67,43.83,12.65,18.58,94.86,73.52,55.34,16.21,11.07,6.32,1.19,0.4,0,2.77,5.14,13.44,7.51,0.79,9.49,9.88,8.3,8.3,1.19,20.55,7.51,5.14,4.35,3.16,1.58,0,32.02,0.79,16.21,5.14,0.4,3.16,5.93,0.4,4.74,0.4,6.32,3.95,2.37,3.16,1.58,1.58,0.4,0,0,0,12.65,5.14,0.4,0,0.79,0.79,2.77,7.51,0,1.19,0,0,0.79,0.4,0,0.4,6.32,1.58,0.4,3.56,1.19,0,3.95,0.4,0,0,0,0,0,2.77,0.4,0,1.58,0,0,0,0,0,0.79,0.79,12.25,9.49,2.37,1.98,3.16,2.77,0,0.79,6.32,6.72,6.72,3.56,1.19,0.4,0.79,0,0,22.53,6.72,6.32,0.79,0.4,5.93,2.37,0
