Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
R_9E6o1UR695yWgg2.txt,1,86,30.58,1,87.35,56.53,21.5,25.58,97.67,73.26,59.3,15.12,13.95,12.79,0,0,0,1.16,1.16,16.28,6.98,0,12.79,9.3,4.65,11.63,2.33,22.09,1.16,1.16,3.49,0,1.16,2.33,38.37,1.16,31.4,10.47,4.65,6.98,5.81,0,5.81,0,2.33,2.33,0,0,0,0,0,0,0,0,6.98,3.49,0,0,0,0,3.49,3.49,1.16,0,0,0,0,0,0,0,3.49,0,0,3.49,0,0,10.47,8.14,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,1.16,4.65,1.16,1.16,0,0,1.16,0,0,2.33,5.81,1.16,0,0,0,0,0,0,8.14,4.65,2.33,0,0,1.16,0,0
R_9BJxT7iJnxHaxDr.txt,1,159,28.89,1,93.37,20.23,13.25,16.98,89.31,67.92,52.2,16.98,11.32,11.32,0,0,0,0,5.66,13.21,6.29,1.26,11.95,10.69,6.29,7.55,0.63,18.87,7.55,3.77,3.14,1.26,0.63,1.26,29.56,0,18.87,5.03,0.63,3.77,6.92,0,5.03,0,3.77,1.89,1.89,1.89,0.63,1.26,1.26,0,0,0,6.92,6.92,0,1.26,0,0.63,5.03,0,0,0,0,0,1.26,0,0,1.26,3.77,0,0,3.14,0.63,0,5.66,3.14,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,1.89,1.26,5.03,8.18,2.52,0.63,3.14,1.89,0.63,0.63,5.03,3.77,5.03,1.26,0.63,0,0,0,0.63,22.01,5.66,6.29,1.89,0,4.4,3.77,0
R_4DIOFgBmrAWKKl6.txt,1,251,37.62,44.78,62.81,20.23,17.93,18.73,82.87,60.96,46.22,9.56,5.18,0.8,0,3.98,0,0.4,4.38,12.75,5.18,0.4,9.96,7.97,9.16,7.17,1.99,13.55,9.16,3.19,1.59,0.4,0.4,0.8,23.51,1.2,12.75,2.79,2.39,0.4,3.98,0.8,4.78,0,3.98,1.99,1.99,0.8,0,0.8,0,0.4,0,0,9.56,5.18,0.4,0,0.4,0,3.59,4.38,0,0,0,0,1.59,0,0,1.59,2.39,0,0,2.39,0,0,9.16,4.78,0.8,0,0,0,0,0,0,0,0,1.2,0,0,0,0,2.39,0,7.57,9.96,0.8,1.2,5.58,1.2,0,1.59,5.18,1.59,8.76,1.2,0.8,0,0.8,0,0,24.3,5.58,5.18,0.8,0,6.37,6.37,0
R_48H5gk6KZzuoe1V.txt,1,176,13.27,4.42,89.39,9.34,17.6,19.32,93.75,70.45,52.84,19.32,14.2,11.36,0,0,0,1.7,5.11,13.64,4.55,0,9.09,9.09,7.39,8.52,0.57,19.89,5.68,2.84,2.27,1.7,0,0.57,31.82,0.57,17.61,5.68,2.27,2.84,5.11,0,1.7,0,5.68,2.27,3.41,2.84,0,2.84,2.27,0,0,0,10.8,6.82,0.57,1.7,0,0.57,4.55,3.98,0,0.57,0,0,1.14,0,0.57,0.57,5.68,0,0,5.68,0,0,7.95,6.25,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,1.14,0.57,5.68,4.55,1.7,0,1.14,1.7,0,0.57,7.95,2.84,8.52,0.57,0.57,0,0,0.57,0,13.07,3.98,3.41,1.7,0,1.14,2.84,0
R_9cSz6xO81NhYah9.txt,1,149,9.89,1,98.06,13.1,29.8,12.75,95.3,76.51,57.72,16.11,12.75,11.41,0,0.67,0,0.67,3.36,12.08,4.03,0,9.4,14.09,2.68,10.07,4.03,24.16,8.05,0.67,3.36,2.01,0,1.34,37.58,1.34,27.52,6.71,2.01,4.03,8.05,0.67,10.74,0,0.67,0,0.67,0,0,0,0,0,0,0,7.38,4.7,0,0.67,0,0,3.36,2.68,0.67,0.67,0,0,0,0,0,0,1.34,0,0,1.34,0,0,8.05,6.71,0.67,0,0,0,0,0,0,0,0.67,2.68,0,0,0,0,1.34,0,9.4,2.68,0.67,0,1.34,0,0,0,3.36,0.67,6.04,0.67,2.01,0.67,0.67,0.67,0,4.7,3.36,0.67,0,0,0.67,0,0
R_4lLa3jvZvd4lVpy.txt,1,84,46.07,4.61,64.98,8.95,21,20.24,90.48,69.05,55.95,13.1,10.71,5.95,0,0,2.38,0,2.38,13.1,9.52,0,9.52,8.33,3.57,9.52,2.38,16.67,5.95,1.19,1.19,1.19,0,0,26.19,0,17.86,3.57,2.38,4.76,2.38,1.19,5.95,0,1.19,0,1.19,0,0,0,0,0,0,0,9.52,4.76,0,0,0,1.19,2.38,4.76,0,0,0,2.38,2.38,0,0,2.38,4.76,0,0,4.76,0,0,7.14,7.14,0,0,0,0,0,0,0,0,1.19,3.57,0,0,0,0,0,1.19,5.95,4.76,0,1.19,1.19,2.38,0,0,9.52,1.19,2.38,0,0,0,0,0,0,8.33,4.76,2.38,0,0,0,1.19,0
R_9kTCAUflKkIxCMx.txt,1,115,47.48,4.56,17.84,32.27,38.33,20.87,86.96,75.65,58.26,10.43,6.96,4.35,0,0,0,2.61,3.48,14.78,5.22,0.87,15.65,8.7,6.96,8.7,3.48,16.52,8.7,6.96,1.74,0.87,0,0.87,24.35,1.74,15.65,1.74,0.87,4.35,4.35,0.87,5.22,0,0.87,0.87,0,0,0,0,0,0,0,0,8.7,5.22,0,0,0,0,3.48,3.48,0,0,0,0,6.09,0,0,6.09,1.74,0,0,1.74,0,0,1.74,1.74,0,0,0,0,0,0,0,0,1.74,0.87,0,0.87,0,0,0.87,0.87,6.96,6.96,1.74,0.87,5.22,0,0,0,0,0.87,5.22,0,0,0,0,0,0,9.57,2.61,0.87,0,0,2.61,3.48,0
R_9qVrcNn6GPJONYR.txt,1,69,20.27,1,88.15,1,69,15.94,95.65,73.91,56.52,17.39,14.49,11.59,0,0,1.45,0,2.9,14.49,8.7,1.45,5.8,10.14,2.9,10.14,1.45,15.94,13.04,2.9,0,0,0,0,23.19,0,15.94,1.45,1.45,5.8,1.45,0,5.8,0,4.35,0,4.35,1.45,0,1.45,1.45,0,0,0,7.25,4.35,0,1.45,2.9,1.45,0,2.9,0,0,0,1.45,1.45,0,0,1.45,2.9,0,0,2.9,0,0,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,1.45,0,2.9,11.59,2.9,1.45,5.8,1.45,0,0,5.8,4.35,2.9,2.9,0,0,0,0,0,2.9,0,2.9,0,0,0,0,0
R_9AN9hSpXOdSyURH.txt,1,41,9.13,1,59.99,,8.2,24.39,87.8,58.54,53.66,17.07,14.63,14.63,0,0,0,0,2.44,14.63,4.88,0,7.32,14.63,4.88,7.32,2.44,14.63,4.88,0,7.32,4.88,0,2.44,29.27,2.44,21.95,4.88,0,7.32,2.44,2.44,2.44,0,0,0,0,0,0,0,0,0,0,0,7.32,7.32,0,0,0,0,2.44,0,0,0,0,0,2.44,0,0,2.44,9.76,0,0,9.76,0,0,9.76,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,2.44,0,0,0,0,0,0,0,4.88,2.44,2.44,0,0,0,0,0,0,14.63,9.76,4.88,0,0,0,0,0
R_9zvj7mgXc2CCZKn.txt,1,109,11.92,1,70.59,11,21.8,14.68,94.5,84.4,66.06,18.35,10.09,9.17,0,0,0,0.92,8.26,11.01,4.59,0.92,11.93,11.01,5.5,10.09,3.67,24.77,7.34,1.83,0,0,0,0,35.78,1.83,27.52,5.5,4.59,4.59,6.42,0.92,8.26,0,4.59,1.83,2.75,2.75,0.92,1.83,0,0,0,0,8.26,5.5,1.83,0,0,0,3.67,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,3.67,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,5.5,0.92,0.92,0,0,0,0,0,2.75,6.42,3.67,1.83,0,0,0,0,0,9.17,4.59,2.75,0,0,0,1.83,0
